time_YYMMDD_HHMMSS,WindSpeedMax,WindDirection,AirTemperature,AirPressure,AirHumidity,WindSpeed
2023-04-19 13:45:00,7.0,344.02353,12.733334,1019.54675,74.240005,4.9199996
2023-04-19 14:00:00,6.0,335.6314,13.064287,1018.8857,72.207146,3.9428573
2023-04-19 14:15:00,5.8,335.3257,13.464287,1018.41425,69.27143,3.8214285
2023-04-19 14:30:00,7.0,310.2974,13.699998,1017.1071,66.27142,5.214286
2023-04-19 14:45:00,7.4,308.48135,13.699998,1016.25006,66.785706,5.9857144
2023-04-19 15:00:00,6.6,312.57303,13.600001,1015.9001,67.057144,5.3285713
2023-04-19 15:15:00,4.4,305.68134,13.5,1015.70013,68.72667,3.9333334
2023-04-19 15:30:00,3.8,315.17792,13.5,1015.55334,69.18667,2.8600001
2023-04-19 15:45:00,3.4,314.52448,13.399999,1015.4001,70.064285,2.6785717
2023-04-19 16:00:00,2.6,271.0799,13.235712,1015.4001,72.19285,1.4928571
2023-04-19 16:15:00,3.1,279.3862,13.100001,1015.60706,73.63572,1.6142858
2023-04-19 16:30:00,3.2,294.76425,13.1214285,1015.68585,73.40001,2.2857141
2023-04-19 16:45:00,3.9,285.1044,13.199998,1015.52844,73.22143,2.0928571
2023-04-19 17:00:00,2.7,282.34406,13.073335,1015.70013,74.833336,1.6800001
2023-04-19 17:15:00,3.1,268.6172,12.899998,1015.82,75.233345,1.6266668
2023-04-19 17:30:00,2.0,286.09357,12.785715,1016.04987,76.971436,1.4928571
2023-04-19 17:45:00,2.8,287.1275,12.699998,1016.4286,77.81428,1.8214287
2023-04-19 18:00:00,1.7,294.5802,12.564285,1016.8214,79.88572,1.1642857
2023-04-19 18:15:00,2.8,310.3589,12.5,1017.19293,79.87144,2.342857
2023-04-19 18:30:00,2.7,263.4289,12.4,1017.4428,80.49286,1.6214285
2023-04-19 18:45:00,2.9,252.60487,12.379999,1017.59985,79.23333,2.3000002
2023-04-19 19:00:00,2.5,290.4222,12.333334,1017.70013,80.40666,1.4266666
2023-04-19 19:15:00,3.9,290.0728,12.300002,1017.79987,80.314285,2.3714287
2023-04-19 19:30:00,2.9,281.40164,12.121429,1017.8858,81.50001,1.55
2023-04-19 19:45:00,2.7,278.65424,12.085715,1018.16437,81.60714,1.4214287
2023-04-19 20:00:00,2.8,288.52338,12.0,1018.1857,81.564285,1.492857
2023-04-19 20:15:00,2.4,288.56674,12.0,1018.20013,81.75715,1.5428572
2023-04-19 20:30:00,4.1,260.39233,12.0,1018.09985,81.01333,2.8600001
2023-04-19 20:45:00,3.4,285.52246,12.040002,1018.0733,79.77333,2.2733335
2023-04-19 21:00:00,4.9,285.10733,12.05,1017.743,79.1,2.9714284
2023-04-19 21:15:00,4.5,290.27252,11.871429,1017.5785,81.064285,2.6857145
2023-04-19 21:30:00,5.1,288.50287,11.699998,1017.5999,82.142845,3.8214283
2023-04-19 21:45:00,6.0,286.89175,11.5,1017.5214,82.67858,3.5571427
2023-04-19 22:00:00,5.6,292.3888,11.321429,1017.62146,83.53571,3.9357142
2023-04-19 22:15:00,4.3,286.06708,11.199998,1017.68005,84.02668,2.3600001
2023-04-19 22:30:00,5.4,289.73398,11.100001,1017.78656,83.68666,3.0733333
2023-04-19 22:45:00,5.4,287.6695,11.057143,1017.6857,82.01428,2.8214288
2023-04-19 23:00:00,4.2,283.01105,10.935714,1017.4858,82.42857,2.1571429
2023-04-19 23:15:00,4.7,290.62988,10.800002,1017.5,83.4,2.757143
2023-04-19 23:30:00,3.1,300.50235,10.492857,1017.52844,84.46429,2.6928573
2023-04-19 23:45:00,4.4,284.19403,10.542857,1017.8573,84.82143,2.392857
